Tracks,Times,Dates
Luigi Circuit,01:10.751,08/11/2026
Moo Moo Meadows,01:19.641,06/15/2025
Mushroom Gorge,00:57.160,08/20/2026
Toad's Factory,01:57.900,08/06/2026
Mario Circuit,01:24.770,08/10/2026
Coconut Mall,01:19.463,07/02/2025
DK's Snowboard Cross,01:57.873,06/01/2025
Wario's Gold Mine,01:19.671,08/16/2026
Daisy Circuit,01:33.172,02/09/2026
Koopa Cape,02:31.597,08/06/2026
Maple Treeway,02:25.443,07/18/2025
Grumble Volcano,00:28.534,06/15/2025
Dry Dry Ruins,01:57.284,07/31/2026
Moonview Highway,01:49.473,08/15/2026
Bowser's Castle,02:30.791,08/16/2026
Rainbow Road,02:36.586,06/01/2025
GCN Peach Beach,01:16.937,06/22/2025
DS Yoshi Falls,01:02.648,06/01/2025
SNES Ghost Valley 2,00:55.548,06/29/2025
N64 Mario Raceway,01:45.834,02/02/2026
N64 Sherbet Land,02:10.286,06/10/2025
GBA Shy Guy Beach,01:24.159,07/26/2026
DS Delfino Square,02:09.519,06/01/2025
GCN Waluigi Stadium,01:58.587,06/01/2025
DS Desert Hills,01:38.838,11/08/2025
GBA Bowser Castle 3,02:14.812,06/01/2025
N64 DK's Jungle Parkway,02:17.378,02/07/2026
GCN Mario Circuit,01:36.914,06/01/2025
SNES Mario Circuit 3,01:20.580,12/08/2025
DS Peach Gardens,02:06.259,08/15/2026
GCN DK Mountain,02:13.497,06/01/2025
N64 Bowser's Castle,02:40.044,08/16/2026
